Palabra,Dificultad,Categoría
perro,fácil,animales
gato,fácil,animales
pájaro,fácil,animales
pez,fácil,animales
vaca,fácil,animales
caballo,fácil,animales
león,fácil,animales
tigre,fácil,animales
oso,fácil,animales
mono,fácil,animales
pollo,fácil,animales
pato,fácil,animales
oveja,fácil,animales
cabra,fácil,animales
cerdo,fácil,animales
rana,fácil,animales
ratón,fácil,animales
abeja,fácil,animales
mosca,fácil,animales
hormiga,fácil,animales
araña,fácil,animales
gusano,fácil,animales
mariposa,fácil,animales
caracol,fácil,animales
elefante,fácil,animales
jirafa,fácil,animales
serpiente,fácil,animales
cocodrilo,fácil,animales
tortuga,fácil,animales
lobo,media,animales
zorro,media,animales
ciervo,media,animales
conejo,fácil,animales
ardilla,media,animales
murciélago,media,animales
delfín,media,animales
ballena,media,animales
tiburón,media,animales
pulpo,media,animales
cangrejo,media,animales
camello,media,animales
llama,media,animales
ganso,media,animales
pavo,fácil,animales
águila,media,animales
halcón,media,animales
búho,media,animales
loro,fácil,animales
canario,fácil,animales
cisne,media,animales
flamenco,media,animales
pingüino,media,animales
avestruz,media,animales
koala,media,animales
panda,media,animales
canguro,media,animales
hipopótamo,media,animales
rinoceronte,media,animales
cebra,media,animales
guepardo,media,animales
leopardo,media,animales
hiena,media,animales
chimpancé,media,animales
gorila,media,animales
ornitorrinco,difícil,animales
armadillo,media,animales
perezoso,media,animales
lémur,media,animales
suricata,media,animales
narval,difícil,animales
beluga,difícil,animales
manatí,difícil,animales
ajolote,difícil,animales
salamandra,media,animales
tritón,media,animales
gecko,media,animales
iguana,media,animales
camaleón,media,animales
varano,difícil,animales
kiwi,media,animales
buitre,media,animales
cóndor,difícil,animales
albatros,difícil,animales
pelícano,media,animales
colibrí,media,animales
medusa,media,animales
estrella,fácil,animales
erizo (mar),media,animales
babosa,fácil,animales
lombriz,fácil,animales
mosquito,fácil,animales
libélula,media,animales
escarabajo,media,animales
grillo,fácil,animales
saltamontes,fácil,animales
mariquita,fácil,animales
ciempiés,media,animales
escorpión,media,animales
mantis,media,animales
bisonte,difícil,animales
